ƒ‰ƒCƒuƒ‰ƒŠ–¼,Í,ß,“à—e
Pandas,Window,pandas.core.window.rolling.Rolling.count,"pandas.core.window.rolling.Rolling.count#Rolling.count(numeric_only=False)[source]#Calculate the rolling count of non NaN observations.Parameters:numeric_onlybool, default FalseInclude only float, int, boolean columns.New in version 1.5.0.Returns:Series or DataFrameReturn type is the same as the original object withnp.float64dtype.See alsopandas.Series.rollingCalling rolling with Series data.pandas.DataFrame.rollingCalling rolling with DataFrames.pandas.Series.countAggregating count for Series.pandas.DataFrame.countAggregating count for DataFrame.Examples>>>s=pd.Series([2,3,np.nan,10])>>>s.rolling(2).count()0    NaN1    2.02    1.03    1.0dtype: float64>>>s.rolling(3).count()0    NaN1    NaN2    2.03    2.0dtype: float64>>>s.rolling(4).count()0    NaN1    NaN2    NaN3    3.0dtype: float64"
Pandas,Window,pandas.core.window.rolling.Rolling.sum,"pandas.core.window.rolling.Rolling.sum#Rolling.sum(numeric_only=False,engine=None,engine_kwargs=None)[source]#Calculate the rolling sum.Parameters:numeric_onlybool, default FalseInclude only float, int, boolean columns.New in version 1.5.0.enginestr, default None'cython': Runs the operation through C-extensions from cython.'numba': Runs the operation through JIT compiled code from numba.None: Defaults to'cython'or globally settingcompute.use_numbaNew in version 1.3.0.engine_kwargsdict, default NoneFor'cython'engine, there are no acceptedengine_kwargsFor'numba'engine, the engine can acceptnopython,nogilandparalleldictionary keys. The values must either beTrueorFalse. The defaultengine_kwargsfor the'numba'engine is{'nopython':True,'nogil':False,'parallel':False}New in version 1.3.0.Returns:Series or DataFrameReturn type is the same as the original object withnp.float64dtype.See alsopandas.Series.rollingCalling rolling with Series data.pandas.DataFrame.rollingCalling rolling with DataFrames.pandas.Series.sumAggregating sum for Series.pandas.DataFrame.sumAggregating sum for DataFrame.NotesSeeNumba engineandNumba (JIT compilation)for extended documentation and performance considerations for the Numba engine.Examples>>>s=pd.Series([1,2,3,4,5])>>>s0    11    22    33    44    5dtype: int64>>>s.rolling(3).sum()0     NaN1     NaN2     6.03     9.04    12.0dtype: float64>>>s.rolling(3,center=True).sum()0     NaN1     6.02     9.03    12.04     NaNdtype: float64For DataFrame, each sum is computed column-wise.>>>df=pd.DataFrame({""A"":s,""B"":s**2})>>>dfA   B0  1   11  2   42  3   93  4  164  5  25>>>df.rolling(3).sum()A     B0   NaN   NaN1   NaN   NaN2   6.0  14.03   9.0  29.04  12.0  50.0"
Pandas,Window,pandas.core.window.rolling.Rolling.mean,"pandas.core.window.rolling.Rolling.mean#Rolling.mean(numeric_only=False,engine=None,engine_kwargs=None)[source]#Calculate the rolling mean.Parameters:numeric_onlybool, default FalseInclude only float, int, boolean columns.New in version 1.5.0.enginestr, default None'cython': Runs the operation through C-extensions from cython.'numba': Runs the operation through JIT compiled code from numba.None: Defaults to'cython'or globally settingcompute.use_numbaNew in version 1.3.0.engine_kwargsdict, default NoneFor'cython'engine, there are no acceptedengine_kwargsFor'numba'engine, the engine can acceptnopython,nogilandparalleldictionary keys. The values must either beTrueorFalse. The defaultengine_kwargsfor the'numba'engine is{'nopython':True,'nogil':False,'parallel':False}New in version 1.3.0.Returns:Series or DataFrameReturn type is the same as the original object withnp.float64dtype.See alsopandas.Series.rollingCalling rolling with Series data.pandas.DataFrame.rollingCalling rolling with DataFrames.pandas.Series.meanAggregating mean for Series.pandas.DataFrame.meanAggregating mean for DataFrame.NotesSeeNumba engineandNumba (JIT compilation)for extended documentation and performance considerations for the Numba engine.ExamplesThe below examples will show rolling mean calculations with window sizes of
two and three, respectively.>>>s=pd.Series([1,2,3,4])>>>s.rolling(2).mean()0    NaN1    1.52    2.53    3.5dtype: float64>>>s.rolling(3).mean()0    NaN1    NaN2    2.03    3.0dtype: float64"
Pandas,Window,pandas.core.window.rolling.Rolling.median,"pandas.core.window.rolling.Rolling.median#Rolling.median(numeric_only=False,engine=None,engine_kwargs=None)[source]#Calculate the rolling median.Parameters:numeric_onlybool, default FalseInclude only float, int, boolean columns.New in version 1.5.0.enginestr, default None'cython': Runs the operation through C-extensions from cython.'numba': Runs the operation through JIT compiled code from numba.None: Defaults to'cython'or globally settingcompute.use_numbaNew in version 1.3.0.engine_kwargsdict, default NoneFor'cython'engine, there are no acceptedengine_kwargsFor'numba'engine, the engine can acceptnopython,nogilandparalleldictionary keys. The values must either beTrueorFalse. The defaultengine_kwargsfor the'numba'engine is{'nopython':True,'nogil':False,'parallel':False}New in version 1.3.0.Returns:Series or DataFrameReturn type is the same as the original object withnp.float64dtype.See alsopandas.Series.rollingCalling rolling with Series data.pandas.DataFrame.rollingCalling rolling with DataFrames.pandas.Series.medianAggregating median for Series.pandas.DataFrame.medianAggregating median for DataFrame.NotesSeeNumba engineandNumba (JIT compilation)for extended documentation and performance considerations for the Numba engine.ExamplesCompute the rolling median of a series with a window size of 3.>>>s=pd.Series([0,1,2,3,4])>>>s.rolling(3).median()0    NaN1    NaN2    1.03    2.04    3.0dtype: float64"
Pandas,Window,pandas.core.window.rolling.Rolling.var,"pandas.core.window.rolling.Rolling.var#Rolling.var(ddof=1,numeric_only=False,engine=None,engine_kwargs=None)[source]#Calculate the rolling variance.Parameters:ddofint, default 1Delta Degrees of Freedom. The divisor used in calculations
isN-ddof, whereNrepresents the number of elements.numeric_onlybool, default FalseInclude only float, int, boolean columns.New in version 1.5.0.enginestr, default None'cython': Runs the operation through C-extensions from cython.'numba': Runs the operation through JIT compiled code from numba.None: Defaults to'cython'or globally settingcompute.use_numbaNew in version 1.4.0.engine_kwargsdict, default NoneFor'cython'engine, there are no acceptedengine_kwargsFor'numba'engine, the engine can acceptnopython,nogilandparalleldictionary keys. The values must either beTrueorFalse. The defaultengine_kwargsfor the'numba'engine is{'nopython':True,'nogil':False,'parallel':False}New in version 1.4.0.Returns:Series or DataFrameReturn type is the same as the original object withnp.float64dtype.See alsonumpy.varEquivalent method for NumPy array.pandas.Series.rollingCalling rolling with Series data.pandas.DataFrame.rollingCalling rolling with DataFrames.pandas.Series.varAggregating var for Series.pandas.DataFrame.varAggregating var for DataFrame.NotesThe defaultddofof 1 used inSeries.var()is different
than the defaultddofof 0 innumpy.var().A minimum of one period is required for the rolling calculation.Examples>>>s=pd.Series([5,5,6,7,5,5,5])>>>s.rolling(3).var()0         NaN1         NaN2    0.3333333    1.0000004    1.0000005    1.3333336    0.000000dtype: float64"
Pandas,Window,pandas.core.window.rolling.Rolling.std,"pandas.core.window.rolling.Rolling.std#Rolling.std(ddof=1,numeric_only=False,engine=None,engine_kwargs=None)[source]#Calculate the rolling standard deviation.Parameters:ddofint, default 1Delta Degrees of Freedom. The divisor used in calculations
isN-ddof, whereNrepresents the number of elements.numeric_onlybool, default FalseInclude only float, int, boolean columns.New in version 1.5.0.enginestr, default None'cython': Runs the operation through C-extensions from cython.'numba': Runs the operation through JIT compiled code from numba.None: Defaults to'cython'or globally settingcompute.use_numbaNew in version 1.4.0.engine_kwargsdict, default NoneFor'cython'engine, there are no acceptedengine_kwargsFor'numba'engine, the engine can acceptnopython,nogilandparalleldictionary keys. The values must either beTrueorFalse. The defaultengine_kwargsfor the'numba'engine is{'nopython':True,'nogil':False,'parallel':False}New in version 1.4.0.Returns:Series or DataFrameReturn type is the same as the original object withnp.float64dtype.See alsonumpy.stdEquivalent method for NumPy array.pandas.Series.rollingCalling rolling with Series data.pandas.DataFrame.rollingCalling rolling with DataFrames.pandas.Series.stdAggregating std for Series.pandas.DataFrame.stdAggregating std for DataFrame.NotesThe defaultddofof 1 used inSeries.std()is different
than the defaultddofof 0 innumpy.std().A minimum of one period is required for the rolling calculation.Examples>>>s=pd.Series([5,5,6,7,5,5,5])>>>s.rolling(3).std()0         NaN1         NaN2    0.5773503    1.0000004    1.0000005    1.1547016    0.000000dtype: float64"
Pandas,Window,pandas.core.window.rolling.Rolling.min,"pandas.core.window.rolling.Rolling.min#Rolling.min(numeric_only=False,engine=None,engine_kwargs=None)[source]#Calculate the rolling minimum.Parameters:numeric_onlybool, default FalseInclude only float, int, boolean columns.New in version 1.5.0.enginestr, default None'cython': Runs the operation through C-extensions from cython.'numba': Runs the operation through JIT compiled code from numba.None: Defaults to'cython'or globally settingcompute.use_numbaNew in version 1.3.0.engine_kwargsdict, default NoneFor'cython'engine, there are no acceptedengine_kwargsFor'numba'engine, the engine can acceptnopython,nogilandparalleldictionary keys. The values must either beTrueorFalse. The defaultengine_kwargsfor the'numba'engine is{'nopython':True,'nogil':False,'parallel':False}New in version 1.3.0.Returns:Series or DataFrameReturn type is the same as the original object withnp.float64dtype.See alsopandas.Series.rollingCalling rolling with Series data.pandas.DataFrame.rollingCalling rolling with DataFrames.pandas.Series.minAggregating min for Series.pandas.DataFrame.minAggregating min for DataFrame.NotesSeeNumba engineandNumba (JIT compilation)for extended documentation and performance considerations for the Numba engine.ExamplesPerforming a rolling minimum with a window size of 3.>>>s=pd.Series([4,3,5,2,6])>>>s.rolling(3).min()0    NaN1    NaN2    3.03    2.04    2.0dtype: float64"
Pandas,Window,pandas.core.window.rolling.Rolling.max,"pandas.core.window.rolling.Rolling.max#Rolling.max(numeric_only=False,*args,engine=None,engine_kwargs=None,**kwargs)[source]#Calculate the rolling maximum.Parameters:numeric_onlybool, default FalseInclude only float, int, boolean columns.New in version 1.5.0.enginestr, default None'cython': Runs the operation through C-extensions from cython.'numba': Runs the operation through JIT compiled code from numba.None: Defaults to'cython'or globally settingcompute.use_numbaNew in version 1.3.0.engine_kwargsdict, default NoneFor'cython'engine, there are no acceptedengine_kwargsFor'numba'engine, the engine can acceptnopython,nogilandparalleldictionary keys. The values must either beTrueorFalse. The defaultengine_kwargsfor the'numba'engine is{'nopython':True,'nogil':False,'parallel':False}New in version 1.3.0.Returns:Series or DataFrameReturn type is the same as the original object withnp.float64dtype.See alsopandas.Series.rollingCalling rolling with Series data.pandas.DataFrame.rollingCalling rolling with DataFrames.pandas.Series.maxAggregating max for Series.pandas.DataFrame.maxAggregating max for DataFrame.NotesSeeNumba engineandNumba (JIT compilation)for extended documentation and performance considerations for the Numba engine.Examples>>>ser=pd.Series([1,2,3,4])>>>ser.rolling(2).max()0    NaN1    2.02    3.03    4.0dtype: float64"
Pandas,Window,pandas.core.window.rolling.Rolling.corr,"pandas.core.window.rolling.Rolling.corr#Rolling.corr(other=None,pairwise=None,ddof=1,numeric_only=False)[source]#Calculate the rolling correlation.Parameters:otherSeries or DataFrame, optionalIf not supplied then will default to self and produce pairwise
output.pairwisebool, default NoneIf False then only matching columns between self and other will be
used and the output will be a DataFrame.
If True then all pairwise combinations will be calculated and the
output will be a MultiIndexed DataFrame in the case of DataFrame
inputs. In the case of missing elements, only complete pairwise
observations will be used.ddofint, default 1Delta Degrees of Freedom. The divisor used in calculations
isN-ddof, whereNrepresents the number of elements.numeric_onlybool, default FalseInclude only float, int, boolean columns.New in version 1.5.0.Returns:Series or DataFrameReturn type is the same as the original object withnp.float64dtype.See alsocovSimilar method to calculate covariance.numpy.corrcoefNumPy Pearsonfs correlation calculation.pandas.Series.rollingCalling rolling with Series data.pandas.DataFrame.rollingCalling rolling with DataFrames.pandas.Series.corrAggregating corr for Series.pandas.DataFrame.corrAggregating corr for DataFrame.NotesThis function uses Pearsonfs definition of correlation
(https://en.wikipedia.org/wiki/Pearson_correlation_coefficient).Whenotheris not specified, the output will be self correlation (e.g.
all 1fs), except forDataFrameinputs withpairwiseset toTrue.Function will returnNaNfor correlations of equal valued sequences;
this is the result of a 0/0 division error.Whenpairwiseis set toFalse, only matching columns betweenselfandotherwill be used.Whenpairwiseis set toTrue, the output will be a MultiIndex DataFrame
with the original index on the first level, and theotherDataFrame
columns on the second level.In the case of missing elements, only complete pairwise observations
will be used.ExamplesThe below example shows a rolling calculation with a window size of
four matching the equivalent function call usingnumpy.corrcoef().>>>v1=[3,3,3,5,8]>>>v2=[3,4,4,4,8]>>># numpy returns a 2X2 array, the correlation coefficient>>># is the number at entry [0][1]>>>print(f""{np.corrcoef(v1[:-1],v2[:-1])[0][1]:.6f}"")0.333333>>>print(f""{np.corrcoef(v1[1:],v2[1:])[0][1]:.6f}"")0.916949>>>s1=pd.Series(v1)>>>s2=pd.Series(v2)>>>s1.rolling(4).corr(s2)0         NaN1         NaN2         NaN3    0.3333334    0.916949dtype: float64The below example shows a similar rolling calculation on a
DataFrame using the pairwise option.>>>matrix=np.array([[51.,35.],[49.,30.],[47.,32.],[46.,31.],[50.,36.]])>>>print(np.corrcoef(matrix[:-1,0],matrix[:-1,1]).round(7))[[1.         0.6263001][0.6263001  1.       ]]>>>print(np.corrcoef(matrix[1:,0],matrix[1:,1]).round(7))[[1.         0.5553681][0.5553681  1.        ]]>>>df=pd.DataFrame(matrix,columns=['X','Y'])>>>dfX     Y0  51.0  35.01  49.0  30.02  47.0  32.03  46.0  31.04  50.0  36.0>>>df.rolling(4).corr(pairwise=True)X         Y0 X       NaN       NaNY       NaN       NaN1 X       NaN       NaNY       NaN       NaN2 X       NaN       NaNY       NaN       NaN3 X  1.000000  0.626300Y  0.626300  1.0000004 X  1.000000  0.555368Y  0.555368  1.000000"
Pandas,Window,pandas.core.window.rolling.Rolling.cov,"pandas.core.window.rolling.Rolling.cov#Rolling.cov(other=None,pairwise=None,ddof=1,numeric_only=False)[source]#Calculate the rolling sample covariance.Parameters:otherSeries or DataFrame, optionalIf not supplied then will default to self and produce pairwise
output.pairwisebool, default NoneIf False then only matching columns between self and other will be
used and the output will be a DataFrame.
If True then all pairwise combinations will be calculated and the
output will be a MultiIndexed DataFrame in the case of DataFrame
inputs. In the case of missing elements, only complete pairwise
observations will be used.ddofint, default 1Delta Degrees of Freedom. The divisor used in calculations
isN-ddof, whereNrepresents the number of elements.numeric_onlybool, default FalseInclude only float, int, boolean columns.New in version 1.5.0.Returns:Series or DataFrameReturn type is the same as the original object withnp.float64dtype.See alsopandas.Series.rollingCalling rolling with Series data.pandas.DataFrame.rollingCalling rolling with DataFrames.pandas.Series.covAggregating cov for Series.pandas.DataFrame.covAggregating cov for DataFrame.Examples>>>ser1=pd.Series([1,2,3,4])>>>ser2=pd.Series([1,4,5,8])>>>ser1.rolling(2).cov(ser2)0    NaN1    1.52    0.53    1.5dtype: float64"
Pandas,Window,pandas.core.window.rolling.Rolling.skew,"pandas.core.window.rolling.Rolling.skew#Rolling.skew(numeric_only=False)[source]#Calculate the rolling unbiased skewness.Parameters:numeric_onlybool, default FalseInclude only float, int, boolean columns.New in version 1.5.0.Returns:Series or DataFrameReturn type is the same as the original object withnp.float64dtype.See alsoscipy.stats.skewThird moment of a probability density.pandas.Series.rollingCalling rolling with Series data.pandas.DataFrame.rollingCalling rolling with DataFrames.pandas.Series.skewAggregating skew for Series.pandas.DataFrame.skewAggregating skew for DataFrame.NotesA minimum of three periods is required for the rolling calculation.Examples>>>ser=pd.Series([1,5,2,7,12,6])>>>ser.rolling(3).skew().round(6)0         NaN1         NaN2    1.2933433   -0.5855834    0.0000005    1.545393dtype: float64"
Pandas,Window,pandas.core.window.rolling.Rolling.kurt,"pandas.core.window.rolling.Rolling.kurt#Rolling.kurt(numeric_only=False)[source]#Calculate the rolling Fisherfs definition of kurtosis without bias.Parameters:numeric_onlybool, default FalseInclude only float, int, boolean columns.New in version 1.5.0.Returns:Series or DataFrameReturn type is the same as the original object withnp.float64dtype.See alsoscipy.stats.kurtosisReference SciPy method.pandas.Series.rollingCalling rolling with Series data.pandas.DataFrame.rollingCalling rolling with DataFrames.pandas.Series.kurtAggregating kurt for Series.pandas.DataFrame.kurtAggregating kurt for DataFrame.NotesA minimum of four periods is required for the calculation.ExamplesThe example below will show a rolling calculation with a window size of
four matching the equivalent function call usingscipy.stats.>>>arr=[1,2,3,4,999]>>>importscipy.stats>>>print(f""{scipy.stats.kurtosis(arr[:-1],bias=False):.6f}"")-1.200000>>>print(f""{scipy.stats.kurtosis(arr[1:],bias=False):.6f}"")3.999946>>>s=pd.Series(arr)>>>s.rolling(4).kurt()0         NaN1         NaN2         NaN3   -1.2000004    3.999946dtype: float64"
Pandas,Window,pandas.core.window.rolling.Rolling.apply,"pandas.core.window.rolling.Rolling.apply#Rolling.apply(func,raw=False,engine=None,engine_kwargs=None,args=None,kwargs=None)[source]#Calculate the rolling custom aggregation function.Parameters:funcfunctionMust produce a single value from an ndarray input ifraw=Trueor a single value from a Series ifraw=False. Can also accept a
Numba JIT function withengine='numba'specified.rawbool, default FalseFalse: passes each row or column as a Series to the
function.True: the passed function will receive ndarray
objects instead.
If you are just applying a NumPy reduction function this will
achieve much better performance.enginestr, default None'cython': Runs rolling apply through C-extensions from cython.'numba': Runs rolling apply through JIT compiled code from numba.
Only available whenrawis set toTrue.None: Defaults to'cython'or globally settingcompute.use_numbaengine_kwargsdict, default NoneFor'cython'engine, there are no acceptedengine_kwargsFor'numba'engine, the engine can acceptnopython,nogilandparalleldictionary keys. The values must either beTrueorFalse. The defaultengine_kwargsfor the'numba'engine is{'nopython':True,'nogil':False,'parallel':False}and will be
applied to both thefuncand theapplyrolling aggregation.argstuple, default NonePositional arguments to be passed into func.kwargsdict, default NoneKeyword arguments to be passed into func.Returns:Series or DataFrameReturn type is the same as the original object withnp.float64dtype.See alsopandas.Series.rollingCalling rolling with Series data.pandas.DataFrame.rollingCalling rolling with DataFrames.pandas.Series.applyAggregating apply for Series.pandas.DataFrame.applyAggregating apply for DataFrame.Examples>>>ser=pd.Series([1,6,5,4])>>>ser.rolling(2).apply(lambdas:s.sum()-s.min())0    NaN1    6.02    6.03    5.0dtype: float64"
